이름,수학,영어,과학
Jody Bishop,c,97,75
Brian Kelley,a,56,64
Nicholas Jones,89,100,59
Sandra Sweeney,86,96,53
Christopher Key,a,53,95
Leslie Cruz,83,50,83
Sherri Miller,84,90,77
Tyrone Santos,85,68,54
Brittany Williams,82,96,76
Jacob Ayers,85,77,100
William Hernandez,59,97,60
Angela Perkins,54,76,80
Gregory Hoffman,92,59,77
Jaclyn Howell,66,92,84
Victoria Gonzalez,73,82,99
Shelby Johnson,72,95,89
Lauren Black,55,88,97
Dylan Cohen,85,62,67
Matthew Petersen,80,73,79
Toni Wilson,69,53,84
Brandy Pace,62,63,63
Samuel Price,98,86,80
Jennifer Jones,74,51,66
Kayla Roy,90,82,85
Tyrone Hernandez,52,81,63
James Miller MD,77,97,89
Miranda Sandoval,83,91,59
Johnny Edwards,57,81,77
Casey Young,100,62,86
Scott Skinner,65,67,93
